Name,Id,Lon,Lat,Hgt
KEFAR GILADI,KEFAR GILADI, 35.5696, 33.2404, 365
DAFNA,DAFNA, 35.6350, 33.2277, 135
KEFAR BLUM,KEFAR BLUM, 35.6133, 33.1716, 75
MEROM GOLAN PICMAN,MEROM GOLAN PICMAN, 35.8045, 33.1288, 945
ROSH HANIQRA,ROSH HANIQRA, 35.1079, 33.0806, 10
ELON,ELON, 35.2173, 33.0653, 300
AYYELET HASHAHAR,AYYELET HASHAHAR, 35.5735, 33.0244, 170
SHAVE ZIYYON,SHAVE ZIYYON, 35.0923, 32.9836, 5
ZEFAT HAR KENAAN,ZEFAT HAR KENAAN, 35.5070, 32.9800, 936
HARASHIM,HARASHIM, 35.3287, 32.9560, 830
AMMIAD,AMMIAD, 35.5135, 32.9150, 215
GAMLA,GAMLA, 35.7487, 32.9052, 405
ESHHAR,ESHHAR, 35.3015, 32.8844, 370
KEFAR NAHUM,KEFAR NAHUM, 35.5792, 32.8835, -200
BET ZAYDA,BET ZAYDA, 35.6504, 32.8800, -200
DEIR HANNA,DEIR HANNA, 35.3741, 32.8621, 280
AFEQ,AFEQ, 35.1123, 32.8466, 10
HAIFA PORT,HAIFA PORT, 34.9977, 32.8283, 10
LEV KINERET,LEV KINERET, 35.6053, 32.8214, -213
AVNE ETAN,AVNE ETAN, 35.7622, 32.8174, 375
HAIFA REFINERIES,HAIFA REFINERIES, 35.0548, 32.8034, 5
HAIFA TECHNION,HAIFA TECHNION, 35.0223, 32.7736, 245
HAIFA UNIVERSITY,HAIFA UNIVERSITY, 35.0208, 32.7611, 475
NEWE YAAR,NEWE YAAR, 35.1784, 32.7078, 115
TAVOR KADOORIE,TAVOR KADOORIE, 35.4069, 32.7053, 145
ZEMAH,ZEMAH, 35.5839, 32.7024, -200
YAVNEEL,YAVNEEL, 35.5101, 32.6978, 0
MASSADA,MASSADA, 35.6008, 32.6833, -200
EN KARMEL,EN KARMEL, 34.9594, 32.6808, 25
MERHAVYA,MERHAVYA, 35.3075, 32.6028, 60
EN HASHOFET,EN HASHOFET, 35.0964, 32.6028, 265
AFULA NIR HAEMEQ,AFULA NIR HAEMEQ, 35.2769, 32.5960, 60
ZIKHRON YAAQOV,ZIKHRON YAAQOV, 34.9546, 32.5724, 175
GALED,GALED, 35.0725, 32.5564, 180
TEL YOSEF,TEL YOSEF, 35.3945, 32.5462, -65
MAALE GILBOA,MAALE GILBOA, 35.4150, 32.4810, 495
HADERA PORT,HADERA PORT, 34.8815, 32.4732, 5
EDEN FARM,EDEN FARM, 35.4888, 32.4679, -120
SEDE ELIYYAHU,SEDE ELIYYAHU, 35.5106, 32.4390, -185
EN HAHORESH,EN HAHORESH, 34.9376, 32.3877, 15
QARNE SHOMERON,QARNE SHOMERON, 35.0959, 32.1752, 330
ITAMAR,ITAMAR, 35.3513, 32.1598, 820
HAKFAR HAYAROK,HAKFAR HAYAROK, 34.8324, 32.1300, 65
SHAARE TIQWA,SHAARE TIQWA, 35.0254, 32.1257, 195
ARIEL,ARIEL, 35.2114, 32.1056, 685
TEL AVIV COAST,TEL AVIV COAST, 34.7588, 32.0580, 10
BET DAGAN,BET DAGAN, 34.8138, 32.0073, 31
GILGAL,GILGAL, 35.4509, 31.9973, -255
HAR HARASHA,HAR HARASHA, 35.1499, 31.9449, 770
ASHDOD PORT,ASHDOD PORT, 34.6377, 31.8342, 5
NAHSHON,NAHSHON, 34.9616, 31.8341, 180
QEVUZAT YAVNE,QEVUZAT YAVNE, 34.7244, 31.8166, 50
BET HAARAVA,BET HAARAVA, 35.5010, 31.8052, -330
HAFEZ HAYYIM,HAFEZ HAYYIM, 34.8050, 31.7910, 80
ZOVA,ZOVA, 35.1258, 31.7878, 710
JERUSALEM CENTRE,JERUSALEM CENTRE, 35.2217, 31.7806, 810
MAALE ADUMMIM,MAALE ADUMMIM, 35.2961, 31.7740, 490
JERUSALEM GIVAT RAM,JERUSALEM GIVAT RAM, 35.1973, 31.7704, 770
NIZZAN,NIZZAN, 34.6348, 31.7319, 30
BEIT JIMAL,BEIT JIMAL, 34.9762, 31.7248, 355
NETIV HALAMED HE,NETIV HALAMED HE, 34.9744, 31.6898, 275
ROSH ZURIM,ROSH ZURIM, 35.1233, 31.6644, 950
NEGBA,NEGBA, 34.6798, 31.6585, 95
ASHQELON PORT,ASHQELON PORT, 34.5215, 31.6394, 5
GAT,GAT, 34.7913, 31.6303, 140
METZOKE DRAGOT,METZOKE DRAGOT, 35.3916, 31.5881, 20
DOROT,DOROT, 34.6480, 31.5036, 115
EN GEDI,EN GEDI, 35.3871, 31.4200, -415
LAHAV,LAHAV, 34.8729, 31.3812, 460
SHANI,SHANI, 35.0662, 31.3568, 700
BESOR FARM,BESOR FARM, 34.3894, 31.2716, 110
BEER SHEVA,BEER SHEVA, 34.7995, 31.2515, 279
ARAD,ARAD, 35.1855, 31.2500, 564
NEVATIM,NEVATIM, 34.9227, 31.2050, 350
ZOMET HANEGEV,ZOMET HANEGEV, 34.8513, 31.0708, 360
SEDOM,SEDOM, 35.3919, 31.0306, -388
SEDE BOQER,SEDE BOQER, 34.7950, 30.8702, 475
EZUZ,EZUZ, 34.4715, 30.7911, 335
AVDAT,AVDAT, 34.7712, 30.7877, 555
HAZEVA,HAZEVA, 35.2389, 30.7787, -135
MIZPE RAMON,MIZPE RAMON, 34.8046, 30.6101, 845
PARAN,PARAN, 35.1479, 30.3655, 100
NEOT SMADAR,NEOT SMADAR, 35.0233, 30.0480, 400
YOTVATA,YOTVATA, 35.0771, 29.8851, 70
ELAT,ELAT, 34.9520, 29.5526, 22
